Category,Rank,Tier,Name,Threat Class,Threat Score,EHP,DPS,HP,ATK,DEF,RES,Attack Interval,Rank (threat_score),Tier (threat_score),Rank (hp),Tier (hp),Rank (ehp),Tier (ehp),Rank (dps),Tier (dps),Rank (atk),Tier (atk),Rank (def),Tier (def),Rank (res),Tier (res),Rank (weight),Tier (weight)
all,1,OP,坎诺特,BOSS,9031,1300000,1650,100000,0,4000,80.0,1.00,1,OP,2,OP,3,OP,1,OP,343,F,1,OP,1,OP,9,S
all,2,OP,熔戈者，护王余火,BOSS,6845,750000,1417,100000,3000,2000,60.0,4.50,2,OP,3,OP,7,OP,3,OP,1,OP,5,OP,5,OP,4,OP
all,3,OP,特雷西斯，黑冠尊主,BOSS,6512,1631250,650,150000,3000,2000,50.0,6.00,3,OP,1,OP,2,OP,11,S,2,OP,6,OP,27,S,7,OP
all,4,OP,杜卡雷，“君主之红”,BOSS,6270,1282500,633,100000,2000,1000,50.0,6.00,4,OP,4,OP,4,OP,12,S,6,OP,28,S,28,S,1,OP
all,5,OP,“阿米娅”,BOSS,5865,936000,1350,40000,3000,4000,80.0,5.00,5,OP,9,S,5,OP,4,OP,3,OP,2,OP,2,OP,2,OP
all,6,OP,“迷迭香”，虚实之握,BOSS,5738,641250,1500,50000,2000,1000,50.0,4.00,6,OP,7,OP,8,OP,2,OP,7,OP,29,S,29,S,77,A
all,7,OP,最后的骑士,BOSS,5697,2295000,721,100000,2000,4000,70.0,3.50,7,OP,5,OP,1,OP,10,S,8,OP,3,OP,4,OP,10,S
all,8,OP,熔戈者，护王余火,BOSS,4790,420000,1239,70000,2200,1500,50.0,4.50,8,OP,6,OP,10,S,5,OP,5,OP,9,S,30,S,5,OP
all,9,OP,“祟”,BOSS,4789,936000,900,40000,3000,4000,80.0,5.00,9,S,10,S,6,OP,7,OP,4,OP,4,OP,3,OP,3,OP
all,10,OP,巨声,ELITE,1770,445500,489,30000,1500,1200,60.0,3.50,10,S,11,S,9,S,32,S,9,S,19,S,6,OP,28,S
all,11,S,直球队坚定守门员,ELITE,1716,297000,587,30000,1400,1300,50.0,3.00,11,S,12,S,11,S,18,S,17,S,15,S,31,S,78,A
all,12,S,饮泣之刺,BOSS,1562,237500,300,50000,0,1000,50.0,5.00,12,S,8,OP,13,S,70,A,344,F,30,S,32,S,79,A
all,13,S,直球队守门员,ELITE,1441,236250,520,25000,1200,1200,50.0,3.00,13,S,18,S,14,S,21,S,22,S,20,S,33,S,80,A
all,14,S,裹骸死士,ELITE,1105,108000,620,24000,1500,800,60.0,3.00,14,S,28,S,39,S,14,S,10,S,54,A,7,OP,29,S
all,15,S,挥铳圣像,ELITE,1102,112500,750,25000,1500,1000,40.0,2.00,15,S,19,S,36,S,8,OP,11,S,31,S,71,A,30,S
all,16,S,直球队坚定击球手,ELITE,1093,188100,480,22000,900,1100,40.0,2.50,16,S,31,S,19,S,33,S,52,A,27,S,72,A,317,E
all,17,S,直球队坚定击人手,ELITE,1086,162000,550,18000,1100,1200,40.0,2.00,17,S,53,A,22,S,20,S,30,S,21,S,73,A,318,E
all,18,S,指挥官厄尔苏拉,ELITE,1075,229500,276,30000,800,800,50.0,3.70,18,S,13,S,16,S,89,A,67,A,55,A,34,S,6,OP
all,19,S,渎罪奇美拉,ELITE,1010,236250,300,25000,1200,1200,50.0,5.00,19,S,20,S,15,S,71,A,23,S,22,S,35,S,31,S
all,20,S,集团军中坚盾卫,ELITE,972,262500,250,25000,950,1800,60.0,3.80,20,S,21,S,12,S,105,B,50,A,7,OP,8,OP,32,S
all,21,S,马特奥的近卫,ELITE,952,178125,385,25000,1300,1200,30.0,4.00,21,S,22,S,20,S,45,A,21,S,23,S,95,A,81,A
all,22,S,恐怖厨子,ELITE,924,195000,240,20000,1200,1800,40.0,5.00,22,S,36,S,18,S,114,B,24,S,8,OP,74,A,33,S
all,23,S,直球队击球手,ELITE,921,145800,440,18000,800,1000,40.0,2.50,23,S,54,A,26,S,37,S,68,A,32,S,75,A,319,E
all,24,S,米奥，热烈的考验者,ELITE,884,142500,280,30000,800,1000,50.0,5.00,24,S,14,S,28,S,86,A,69,A,33,S,36,S,11,S
all,25,S,直球队击人手,ELITE,871,114750,500,15000,1000,900,40.0,2.00,25,S,73,A,33,S,24,S,38,S,46,A,76,A,320,E
all,26,S,乌萨斯战争术师,ELITE,843,127500,330,20000,750,900,40.0,5.00,26,S,37,S,31,S,59,A,85,A,47,A,77,A,82,A
