Rank,Tier,Operator,Skill,Module,Score,Phys DPS,Arts DPS,True DPS,Ele DPS,Wave TTC,Boss TTC,HPS,EHP Phys,Support Value
1,OP,Pramanix the Prerita,群山俯首,No Module,1125.67,0.00,1411200.00,0.00,0.00,75.39,66.02,0.00,4116.00,10.00
2,OP,Pramanix the Prerita,群山俯首,PLX-Y: 千分之一的心,1125.67,0.00,1411200.00,0.00,0.00,75.39,66.02,0.00,4116.00,10.00
3,OP,Exusiai the New Covenant,使命必达！,GEE-X: 新朋友圣城生活套组,909.76,783012.77,0.00,0.00,0.00,91.23,94.35,0.00,4554.80,975.00
4,OP,Makoto Yuki,开辟明日的剑刃,PUM-Y: 彼此的声音,840.85,1562850.98,0.00,0.00,0.00,54.33,24.49,0.00,3109.00,446.67
5,OP,Nearl the Radiant Knight,逐夜烁光,DRE-Y: 'A Knightly House',813.83,2186533.61,0.00,0.00,0.00,121.62,37.23,0.00,8520.00,48.99
6,OP,Exusiai the New Covenant,开火成瘾症,GEE-X: 新朋友圣城生活套组,792.87,1134321.56,0.00,0.00,0.00,167.62,51.45,0.00,4554.80,975.00
7,OP,Makoto Yuki,俄耳甫斯的竖琴,PUM-Y: 彼此的声音,778.22,2145367.20,0.00,0.00,0.00,99.43,27.35,0.00,3109.00,66.67
8,OP,Exusiai the New Covenant,使命必达！,No Module,645.65,565769.90,0.00,0.00,0.00,110.59,181.71,0.00,2279.00,975.00
9,OP,Makoto Yuki,开辟明日的剑刃,No Module,618.55,1215614.35,0.00,0.00,0.00,57.43,27.52,0.00,2805.00,433.33
10,OP,Ifrit,灼地,BLA-D: “热成形记忆”,600.35,0.00,84988.97,0.00,0.00,671.29,843.93,0.00,1917.60,2160.00
11,OP,Lappland the Decadenza,终幕·浩劫,FUN-X: 狼时,593.75,0.00,708437.33,0.00,0.00,242.53,68.58,0.00,1663.00,28.74
12,OP,Lappland the Decadenza,终幕·浩劫,No Module,593.22,0.00,708437.33,0.00,0.00,242.53,68.58,0.00,1503.00,28.74
13,OP,Wiš'adel,爆裂黎明,BOM-X: 'Ancestor Launcher',564.30,830861.56,0.00,0.00,0.00,113.88,145.57,0.00,1888.00,1.84
14,OP,Makoto Yuki,俄耳甫斯的竖琴,No Module,546.78,1671252.00,0.00,0.00,0.00,115.30,31.19,0.00,2805.00,53.33
15,OP,Exusiai the New Covenant,开火成瘾症,No Module,539.71,768182.12,0.00,0.00,0.00,240.04,74.86,0.00,2279.00,975.00
16,OP,Necrass,冠死以冕,SOC-X: 未处理的遗产,515.26,0.00,803113.89,0.00,0.00,135.31,149.14,0.00,7646.40,643.00
17,OP,Wiš'adel,爆裂黎明,No Module,496.98,764506.06,0.00,0.00,0.00,118.90,164.84,0.00,1888.00,1.84
18,OP,Pozëmka,锐笔速写,ARC-X: 仪式感,492.94,644276.64,0.00,0.00,0.00,429.06,96.21,0.00,1802.00,975.00
19,OP,Ray,“得见光芒”,HUN-Y: 证明什么？,483.44,1285606.44,0.00,0.00,0.00,188.92,53.27,0.00,2133.00,0.00
20,OP,Eyjafjalla the Hvít Aska,火山回响,WDM-Y: 想要留下的生命,480.39,0.00,0.00,0.00,0.00,1800.00,1800.00,417458.69,2014.60,600.00
21,OP,Blaze the Igniting Spark,众恶的焚场,PRI-Y: 沟通小助手,463.94,0.00,0.00,0.00,1239000.00,62.00,32.98,0.00,3576.96,49.35
22,OP,Wang,天下劫,TRP-X: 兽形棋盒,459.70,67678.63,1095426.85,0.00,0.00,78.36,56.69,0.00,1630.00,0.00
23,OP,Angelina the Mellow Wish,酸橙的心事,No Module,452.35,572125.89,42283.52,0.00,0.00,141.38,123.59,0.00,12265.71,559.00
24,OP,Ifrit,狂热,BLA-D: “热成形记忆”,448.72,0.00,100897.31,0.00,0.00,545.71,725.01,0.00,1880.00,1760.00
25,OP,Eyjafjalla the Hvít Aska,火山回响,WDM-X: 想要留住的声音,448.43,0.00,0.00,0.00,0.00,1800.00,1800.00,388372.44,2368.50,600.00
26,OP,Ifrit,RAW,BLA-D: “热成形记忆”,448.04,0.00,72762.48,0.00,0.00,810.88,1018.54,0.00,1880.00,1760.00
27,OP,Pramanix the Prerita,霜涛覆岭,PLX-Y: 千分之一的心,437.04,0.00,953379.72,0.00,0.00,90.70,93.80,0.00,4116.00,35.00
28,OP,Ch'en the Dawnstreak,赤霄·绝影-驰,AFT-X: 记忆残页,428.76,0.00,1428371.86,0.00,0.00,169.41,56.22,0.00,3330.00,69.23
29,OP,Ifrit,炎爆,BLA-D: “热成形记忆”,427.63,0.00,27523.20,0.00,0.00,517.50,691.07,0.00,1880.00,1760.00
30,OP,Blaze the Igniting Spark,众恶的焚场,PRI-X: 热切的期盼,426.74,0.00,0.00,0.00,1158000.00,64.24,34.56,0.00,2887.16,49.35
31,OP,Blaze the Igniting Spark,众恶的焚场,No Module,425.14,0.00,0.00,0.00,1158000.00,64.24,34.56,0.00,2496.42,49.35
32,OP,Ulpianus,必须开辟的通路,CRU-X: 乌尔比安的衣橱,420.91,409400.64,0.00,0.00,0.00,108.69,87.77,0.00,24000.00,73.49
33,OP,Nearl the Radiant Knight,逐夜烁光,DRE-X: Blade of Blazing Sun,416.27,1392164.55,0.00,0.00,0.00,127.27,35.39,0.00,3880.00,36.75
34,OP,Eyjafjalla the Hvít Aska,火山回响,No Module,413.78,0.00,0.00,0.00,0.00,1800.00,1800.00,359380.16,2014.60,600.00
35,OP,Pramanix the Prerita,霜涛覆岭,No Module,390.59,0.00,874890.72,0.00,0.00,94.93,107.17,0.00,4116.00,35.00
36,OP,Blaze the Igniting Spark,沸血燎原,PRI-Y: 沟通小助手,383.68,0.00,120296.30,0.00,1002462.96,120.46,58.75,0.00,3732.48,61.24
37,OP,Ch'en the Dawnstreak,赤霄·绝影-驰,No Module,375.14,0.00,1302624.53,0.00,0.00,186.39,60.20,0.00,2910.00,69.23
38,OP,Ulpianus,必须开辟的通路,No Module,368.67,378949.44,0.00,0.00,0.00,113.88,94.66,0.00,24000.00,73.49
39,OP,Mon3tr,策略：熔毁,XAH-X: 记忆存档,365.19,0.00,0.00,461433.07,0.00,347.45,262.54,348747.10,6735.00,126.00
40,OP,Blaze the Igniting Spark,沸血燎原,PRI-X: 热切的期盼,361.56,0.00,101688.89,0.00,926288.89,131.73,61.45,0.00,2995.70,61.24
41,OP,Blaze the Igniting Spark,沸血燎原,No Module,359.93,0.00,101688.89,0.00,926288.89,131.73,61.45,0.00,2604.96,61.24
42,OP,Necrass,噩愿,SOC-X: 未处理的遗产,355.58,0.00,598859.28,0.00,0.00,217.76,219.47,0.00,5522.40,675.00
43,OP,Necrass,冠死以冕,No Module,342.98,0.00,530003.30,0.00,0.00,192.41,249.47,0.00,6926.40,643.00
44,OP,Exusiai the New Covenant,天空大扫除,GEE-X: 新朋友圣城生活套组,340.27,525168.58,0.00,0.00,0.00,520.23,234.48,0.00,4554.80,975.00
45,OP,Titi,旧日绽放,INC-X: 远方的礼物,336.33,0.00,501705.79,0.00,0.00,260.60,197.05,250852.89,2332.50,217.74
46,OP,Gnosis,失温症,UMD-Y: 一号项目模型,335.92,0.00,561816.69,0.00,0.00,111.50,169.88,0.00,2155.00,100.66
47,OP,Surtr,黄昏,AFT-Y: 旅游必需品,333.57,0.00,817603.30,0.00,0.00,96.40,76.71,0.00,9499.20,0.00
48,OP,Pozëmka,抑扬格,ARC-X: 仪式感,333.44,480656.40,0.00,0.00,0.00,609.40,120.61,0.00,1802.00,975.00
49,OP,Gavial the Invincible,丛林之魂,CEN-Y: 好锯多磨,327.34,380034.75,0.00,0.00,0.00,103.22,315.15,0.00,15530.00,0.00
50,OP,Wang,天下劫,No Module,327.17,38986.67,691585.89,0.00,0.00,82.00,60.94,0.00,1480.00,0.00
51,OP,Gavial the Invincible,丛林之魂,CEN-X: The Binding of Gavial,327.08,443165.45,0.00,0.00,0.00,94.99,221.36,0.00,9318.00,0.00
52,OP,Chongyue,冲盈,FGT-Y: “朔”,318.28,408114.45,0.00,0.00,0.00,703.15,673.52,0.00,3952.50,1050.00
53,OP,Penance,坚心苦修,UNY-X: The Thorny Road That Continues,313.75,242534.43,117787.20,0.00,0.00,349.79,429.62,0.00,19053.12,480.00
54,OP,Ulpianus,必须维系的界限,CRU-X: 乌尔比安的衣橱,312.10,388321.88,0.00,0.00,0.00,317.82,116.23,0.00,24000.00,0.00
55,OP,Wiš'adel,饱和复仇,BOM-X: 'Ancestor Launcher',309.64,646554.71,0.00,0.00,0.00,96.86,128.18,0.00,1888.00,1.84
56,OP,Horn,终极防线,FOR-Y: 旧日新装,309.28,566040.55,0.00,0.00,0.00,104.45,113.97,0.00,4904.00,0.00
57,OP,Yu,厚礼上宾,PRP-X: 人间百味,308.84,280721.25,0.00,0.00,131025.00,180.90,193.93,0.00,17800.00,240.00
58,OP,Chongyue,我无,FGT-Y: “朔”,303.17,268427.79,0.00,0.00,0.00,249.54,1623.95,0.00,3952.50,1050.00
59,OP,Haruka,幽隙栖萤,BLS-Y: 迟来的纪念,302.70,0.00,0.00,0.00,0.00,1800.00,1800.00,405194.12,2995.71,120.00
60,OP,Titi,旧日绽放,No Module,298.74,0.00,457462.18,0.00,0.00,288.81,220.43,228731.09,2107.50,217.74
61,OP,Sakiko Togawa,满月的舞会 (Piano),LOR-Y: 无言的约定,296.62,1097153.77,0.00,0.00,0.00,80.27,43.70,0.00,2356.00,0.00
62,OP,Virtuosa,“自由的探戈”,RIT-Y: 音乐家的旅程,294.64,0.00,23000.00,0.00,670450.00,205.06,68.74,0.00,1873.30,1.33
63,OP,Virtuosa,“自由的探戈”,RIT-X: 强弱法,294.51,0.00,23000.00,0.00,670450.00,205.06,68.74,0.00,1834.30,1.33
64,OP,Penance,披荆斩棘,UNY-X: The Thorny Road That Continues,291.35,483027.38,86377.28,0.00,0.00,772.60,116.04,0.00,11020.00,0.00
65,OP,Ela,“博萨克风暴”,TRP-D: Social Expectation Backpack,289.70,729492.91,0.00,0.00,0.00,272.74,70.62,0.00,1468.00,143.48
66,OP,Chongyue,RAW,FGT-Y: “朔”,287.46,265435.11,0.00,0.00,0.00,1167.44,1800.00,0.00,3952.50,1050.00
67,OP,Hoederer,死境硝烟,CRU-X: 新的生活,287.37,276732.31,0.00,0.00,0.00,317.10,128.35,0.00,15395.22,229.24
68,OP,Nearl the Radiant Knight,逐夜烁光,No Module,282.96,1051345.87,0.00,0.00,0.00,154.43,47.57,0.00,3550.00,36.75
69,OP,Hoederer,死境硝烟,CRU-Y: 笔迹,282.75,293668.86,0.00,0.00,0.00,297.60,120.27,0.00,13342.03,229.24
70,OP,Ela,震荡坚守,TRP-D: Social Expectation Backpack,280.45,632273.38,0.00,0.00,0.00,101.90,124.18,0.00,1468.00,61.24
71,OP,Bellone,清算,FGT-Y: 实用的工具,279.51,631299.87,0.00,0.00,0.00,418.26,116.17,0.00,4282.50,225.00
72,OP,Virtuosa,“自由的探戈”,No Module,278.76,0.00,16000.00,0.00,466400.00,205.06,68.74,0.00,1561.30,1.33
73,OP,Mon3tr,策略：熔毁,No Module,277.99,0.00,0.00,385176.00,0.00,429.14,322.64,268156.81,6735.00,126.00
74,OP,Ifrit,灼地,BLA-X: 'Syntexis',277.85,0.00,86659.38,0.00,0.00,655.42,952.27,0.00,1713.60,1280.00
75,OP,Ray,“得见光芒”,HUN-X: 《跳舞的月光》,276.98,888820.03,0.00,0.00,0.00,281.74,73.43,0.00,2133.00,0.00
76,OP,Nightingale,圣域,RIN-X: 'Closed Hope',275.63,0.00,0.00,0.00,0.00,1800.00,1800.00,204506.53,1705.00,591.67
77,OP,Ifrit,灼地,No Module,274.11,0.00,72621.12,0.00,0.00,812.77,1142.80,0.00,1713.60,1280.00
78,S,Exusiai the New Covenant,天空大扫除,No Module,273.29,373976.54,0.00,0.00,0.00,784.58,415.52,0.00,2279.00,975.00
79,S,Makoto Yuki,塔纳托斯的囚锁,PUM-Y: 彼此的声音,270.67,692294.90,0.00,0.00,0.00,68.06,36.94,0.00,3109.00,70.10
80,S,Ulpianus,必须维系的界限,No Module,270.08,358771.48,0.00,0.00,0.00,353.69,126.56,0.00,24000.00,0.00
81,S,Pramanix,自然震慑,UMD-X: 'Knitting of a Future',265.90,0.00,73160.88,0.00,0.00,1319.00,1442.46,0.00,2499.00,1100.00
